,song,genre,singer,title,tempo1,tempo2,mean_ft1,var_ft1,mean_ft2,var_ft2,mean_mel1,var_mel1,mean_mel2,var_mel2,mean_harm1,var_harm1,mean_perc1,var_perc1,mean_harm2,var_harm2,mean_perc2,var_perc2,mean_sc1,var_sc1,mean_sc2,var_sc2,mean_chroma1,var_chroma1,mean_chroma2,var_chroma2,mean_mfccs1,var_mfccs1,mean_mfccs2,var_mfccs2,zero_crossings_mean1,zero_crossings_var1,zero_crossings_mean2,zero_crossings_var2
0,TWICE  - KNOCK KNOCK.mp3,kpop,TWICE ,KNOCK KNOCK,129.19921875,129.19921875,2.965916633605957,76.3522720336914,4.196761131286621,100.74449920654297,-71.4462661743164,175.7735595703125,-67.67757415771484,208.80514526367188,8.570591489842627e-06,0.0496283583343029,0.00011801392247434705,0.023770665749907494,-8.907515621103812e-06,0.07169373333454132,-0.0002773941378109157,0.030520709231495857,0.39190662513909175,0.031682320548216694,0.3871946177793604,0.023334143182669326,0.418700635433197,0.09030868858098984,0.4066115617752075,0.0843009501695633,0.4903084933757782,0.026211004704236984,0.48642420768737793,0.023686593398451805,0.1117339380196523,0.09924946511427278,0.13497278911564625,0.11675513531398955
1,BIGBANG  - 맨정신.mp3,kpop,BIGBANG ,맨정신,129.19921875,129.19921875,3.2047557830810547,81.64508056640625,3.8261609077453613,92.78324127197266,-69.06773376464844,224.40975952148438,-66.3304443359375,241.05087280273438,3.7893645639996976e-05,0.05823435261845589,0.0009813668439164758,0.027520636096596718,8.681213512318209e-05,0.07205414772033691,0.0019052403513342142,0.026981962844729424,0.4920818353127875,0.01786096381918829,0.38412938530256746,0.023489173322035498,0.3953622579574585,0.0885508805513382,0.4123489260673523,0.08443272113800049,0.531876802444458,0.031233375892043114,0.594713568687439,0.024123184382915497,0.09513000755857899,0.0860802892204837,0.10601209372637944,0.0947735297101288
2,블랙핑크(BLACKPINK)  - 불장난.mp3,kpop,블랙핑크(BLACKPINK) ,불장난,95.703125,95.703125,2.233121633529663,47.61300277709961,2.7224338054656982,60.75043487548828,-71.97590637207031,180.6326141357422,-70.30126190185547,210.8838348388672,0.00017538410611450672,0.03691541403532028,0.0007882898207753897,0.014889073558151722,0.0003791118215303868,0.044571176171302795,0.0012654413003474474,0.021016430109739304,0.3998390740065985,0.032456624492255504,0.3562921306733904,0.020766205927292402,0.35730698704719543,0.09415256977081299,0.3801487386226654,0.09149635583162308,0.49628323316574097,0.030317354947328568,0.5114078521728516,0.02545972168445587,0.10776417233560091,0.09615105549642376,0.11796749811035526,0.10405116749993865
3,숀  - 습관.mp3,kpop,숀 ,습관,117.45383522727273,117.45383522727273,1.9893423318862915,48.7614631652832,2.856109380722046,74.33831787109375,-73.9561996459961,136.02532958984375,-71.3842544555664,188.04005432128906,-1.897739275591448e-05,0.029034344479441643,-4.32238812209107e-05,0.024958081543445587,-3.4829965898097726e-06,0.056254174560308456,0.0001314224791713059,0.023718267679214478,0.34312825292789456,0.020946929043259833,0.33115664696136315,0.022749961437043144,0.35400351881980896,0.10110253095626831,0.36808598041534424,0.09350160509347916,0.5266537070274353,0.026327360421419144,0.518653154373169,0.0230946596711874,0.0912713529856387,0.08294089310980966,0.09195691609977324,0.08350084168119257
4, 마마무  - HIP.mp3,kpop, 마마무 ,HIP,135.99917763157896,135.99917763157896,2.4771060943603516,91.85880279541016,3.180642604827881,105.1902084350586,-73.89496612548828,151.90753173828125,-71.39163970947266,186.48301696777344,2.7288113415124826e-05,0.06447341293096542,-0.00018511456437408924,0.03208412602543831,-3.2166331038752105e-06,0.07178810238838196,-0.0006699814111925662,0.039410196244716644,0.3252162126930147,0.01593176796703878,0.31547623947872766,0.014041867132365209,0.4220370054244995,0.09875187277793884,0.4403020739555359,0.09310457110404968,0.5375657677650452,0.026406042277812958,0.4961245656013489,0.025921236723661423,0.08797732426303854,0.0802373146785547,0.0890204081632653,0.08109577509371095
5,BIGBANG  - 에라 모르겠다.mp3,kpop,BIGBANG ,에라 모르겠다,89.10290948275862,89.10290948275862,2.203908681869507,43.43220901489258,3.3945472240448,63.2017822265625,-74.20341491699219,130.9364013671875,-72.2890853881836,149.62403869628906,0.00186218973249197,0.02427065558731556,0.001336357556283474,0.02482185699045658,0.0008424140396527946,0.038428518921136856,0.0003724923590198159,0.0319785550236702,0.3731009989705298,0.0298532136998267,0.41991611962610886,0.021141241686513074,0.3629576861858368,0.09891066700220108,0.36305129528045654,0.09747370332479477,0.5431351065635681,0.02506505325436592,0.5027492046356201,0.027013415470719337,0.12937112622826907,0.1126342379266984,0.15919198790627362,0.13384989889272245
6,선미  - 주인공.mp3,kpop,선미 ,주인공,123.046875,123.046875,1.6019490957260132,35.565860748291016,3.016461133956909,59.85508346557617,-75.04159545898438,105.67255401611328,-71.33802032470703,154.83474731445312,2.884109562728554e-05,0.021390749141573906,0.000127301478642039,0.014376373961567879,2.448243867547717e-05,0.04797949641942978,1.814858819670917e-06,0.017850475385785103,0.37164363791817634,0.03747592517820867,0.27322523720232167,0.017412040259672173,0.4494870901107788,0.10230737179517746,0.3603484034538269,0.08946233987808228,0.529731810092926,0.03461752459406853,0.5271984934806824,0.0268031544983387,0.08927286470143612,0.08130322032943517,0.13416931216931216,0.11616790784132579
7,마마무  -  Piano Man.mp3,kpop,마마무 , Piano Man,112.34714673913044,112.34714673913044,0.9831420183181763,18.428617477416992,2.989793300628662,59.33396911621094,-75.547607421875,109.82096862792969,-69.54692077636719,202.09432983398438,-0.00010563235264271498,0.015432248823344707,-0.000723956327419728,0.004500117152929306,4.223679206916131e-05,0.03608693554997444,0.0002048568712780252,0.025299593806266785,0.2720041631075563,0.01854009235024595,0.30647742253791943,0.013638409050220868,0.4194885790348053,0.08884797990322113,0.3592927157878876,0.09114659577608109,0.5103647112846375,0.024728653952479362,0.5007166862487793,0.023282639682292938,0.0545427059712774,0.051567799196608186,0.11890325018896447,0.104765267283465
