song,genre,mean_mel2,var_mel2,mean_harm1,var_harm1,mean_perc1,var_perc1,mean_harm2,var_harm2,mean_perc2,var_perc2,mean_sc1,var_sc1,mean_sc2,var_sc2,mean_chroma1,var_chroma1,mean_chroma2,var_chroma2,mean_mfccs1,var_mfccs1,mean_mfccs2,var_mfccs2,zero_crossings_mean1,zero_crossings_var1,zero_crossings_mean2,zero_crossings_var2
"창모 (CHANGMO), 해쉬스완 (Hash Swan), 애쉬 아일랜드 (ASH ISLAND), 김효은 - BAND.mp3",hip-hop,-76.50821685791016,85.06035614013672,-3.45939515682403e-05,0.021393578499555588,2.591353768366389e-05,0.024517467245459557,-1.1821901352959685e-05,0.03197844699025154,-3.397848558961414e-06,0.030203117057681084,0.38354448981584977,0.02133146300567516,0.3767786415374826,0.034867059578747514,0.3743859529495239,0.10131549090147018,0.4498206079006195,0.08722047507762909,0.4955683648586273,0.03066386841237545,0.48554399609565735,0.027042381465435028,0.13348904006046863,0.11566971624420327,0.10942630385487528,0.09745218787953575
프라이머리 - 독 (Feat. E Sens of 슈프림팀) 가사-QuC_EqHjA7Y.mp3,hip-hop,-69.14302062988281,217.97515869140625,4.529696298050112e-07,0.002339288592338562,-4.021846962132258e-06,0.004667691420763731,-4.771980002260534e-06,0.019727831706404686,-3.0342442187247798e-05,0.01717362366616726,0.3568690210900997,0.03121294892052268,0.33023322984901626,0.030381179346494824,0.397682785987854,0.09101106971502304,0.4009752869606018,0.087548166513443,0.5350938439369202,0.025813907384872437,0.5257773399353027,0.025109177455306053,0.11284202569916855,0.10010870293527668,0.10933938019652305,0.0973842801347632
슈퍼비 (SUPERBEE) - +82 Bars [Rap Legend]-1-sg3fud1EY.mp3,hip-hop,-71.28524017333984,181.34860229492188,6.976062650210224e-06,0.04040393978357315,8.837848145049065e-05,0.022447802126407623,1.178203456220217e-05,0.054983507841825485,2.2171174350660294e-05,0.026660503819584846,0.45236449597524614,0.020464131917069625,0.41592409563771865,0.020522973630991297,0.41060638427734375,0.09356018900871277,0.4378022253513336,0.08938398957252502,0.5160503387451172,0.026590419933199883,0.5354677438735962,0.025337642058730125,0.14819274376417232,0.12623165445981868,0.13813227513227513,0.11905174969905652
창모 (CHANGMO) - 아름다워 (Beautiful) (OFFICIAL AUDIO)-ywwU5ka1fBs.mp3,hip-hop,-72.2069320678711,181.91632080078125,-1.515364147053333e-05,0.024320680648088455,-7.54587454139255e-05,0.022708920761942863,-1.6751193925301777e-06,0.03142847865819931,1.756979509082157e-05,0.02034923993051052,0.2732600330777324,0.029183117633967238,0.3365876518318611,0.031507278273715605,0.38533881306648254,0.09720004349946976,0.35304519534111023,0.09600919485092163,0.5075148940086365,0.027133982628583908,0.5091441869735718,0.026109764352440834,0.0834829931972789,0.07651358304410198,0.10523885109599396,0.0941636353159892
창모 (CHANGMO) - METEOR [Official Music Video]-lOrU0MH0bMk.mp3,hip-hop,-70.30596923828125,232.97528076171875,-4.8233781853923574e-05,0.03350227698683739,9.116749424720183e-05,0.027863452211022377,-7.382257899735123e-05,0.04289477318525314,0.00013774099352303892,0.022161420434713364,0.3120808596344004,0.03867935596032206,0.25377123400138074,0.017452291976839233,0.44445937871932983,0.09106823801994324,0.37047746777534485,0.09129023551940918,0.5114202499389648,0.025078438222408295,0.5116145610809326,0.026134604588150978,0.08475736961451247,0.07757355791054138,0.08368556311413454,0.07668228964040476
BTS (Suga) - First Love.mp3,hip-hop,-66.1317138671875,241.44300842285156,6.127166670921724e-06,0.00595867121592164,-2.3005584353086306e-06,0.003008446888998151,4.216822162561584e-06,0.00967018399387598,-3.437194027355872e-05,0.005638777278363705,0.4114250715873333,0.02496414216245958,0.36834497783551057,0.026692595467207165,0.3587504029273987,0.09130607545375824,0.40193358063697815,0.08096262812614441,0.5114481449127197,0.027063434943556786,0.5177611708641052,0.02424529194831848,0.12532879818594103,0.10962149053120869,0.1362962962962963,0.11771961591220853
