,song,genre,singer,title,tempo1,tempo2,mean_ft1,var_ft1,mean_ft2,var_ft2,mean_mel1,var_mel1,mean_mel2,var_mel2,mean_harm1,var_harm1,mean_perc1,var_perc1,mean_harm2,var_harm2,mean_perc2,var_perc2,mean_sc1,var_sc1,mean_sc2,var_sc2,mean_chroma1,var_chroma1,mean_chroma2,var_chroma2,mean_mfccs1,var_mfccs1,mean_mfccs2,var_mfccs2,zero_crossings_mean1,zero_crossings_var1,zero_crossings_mean2,zero_crossings_var2
0, IU(아이유)  - Palette(팔레트) (Feat. G-DRAGON)-d9IxdwEFk1c.mp3,RB, IU(아이유) ,Palette(팔레트) (Feat. G,103.359375,103.359375,1.4474515914916992,36.62238693237305,2.3800225257873535,60.67347717285156,-75.46539306640625,119.08112335205078,-72.72100830078125,179.6483917236328,-8.327764953719452e-05,0.0188234131783247,1.4978762010287028e-05,0.022373417392373085,-3.90682507713791e-05,0.03631985932588577,-4.103256651433185e-05,0.027870193123817444,0.2686239535390554,0.03518008557258371,0.18656232556288563,0.020037981311100538,0.3454049825668335,0.09892813861370087,0.326236367225647,0.09813443571329117,0.5147584080696106,0.024973077699542046,0.49643728137016296,0.026082074269652367,0.0816228269085412,0.0749605410359995,0.09548526077097505,0.08636782574647396
1,헤이즈 (Heize)  - 저 별.mp3,RB,헤이즈 (Heize) ,저 별,83.35433467741936,67.99958881578948,0.7672548294067383,10.723906517028809,1.7001668214797974,44.88935470581055,-74.05048370361328,150.15167236328125,-74.45113372802734,135.45530700683594,5.997790708534012e-08,0.01030589360743761,-3.275550852777087e-06,0.0016343632014468312,-2.218875670223497e-05,0.03751600533723831,-0.00040033936966210604,0.012483553029596806,0.2936439750181089,0.023874902056543974,,,0.2541757822036743,0.09136005491018295,0.3348349928855896,0.08973806351423264,0.510795533657074,0.02984139323234558,0.5212991833686829,0.026511140167713165,0.08946258503401361,0.0814590309130455,0.08513378684807256,0.07788602518497949
2,"[Audio] 아이유  - 사랑이 잘 (With. 오혁), IU - Can‘t Love You Anymore (With. OHHYUK)-dMn509ddAkc.mp3",RB,[Audio] 아이유 ,"사랑이 잘 , IU",129.19921875,66.25600961538461,1.9157358407974243,45.40980529785156,2.379793405532837,65.42777252197266,-73.825439453125,163.6958465576172,-72.18282318115234,204.58619689941406,1.4162163097353186e-05,0.0347401425242424,1.4971820746723097e-05,0.013768150471150875,8.680623068357818e-06,0.04381820559501648,-0.00017439747171010822,0.02195126563310623,0.38711213582740767,0.03025810840505494,,,0.3131462037563324,0.10099641233682632,0.3493172228336334,0.09392149746417999,0.4884248673915863,0.029339822009205818,0.4922541379928589,0.02506091073155403,0.11214361300075586,0.09956742306389255,0.09647316704459562,0.08716609508498112
3,JIDA  - Autumn Breeze (Feat - Rachel Lim).mp3,RB,JIDA ,Autumn Breeze (Feat,75.99954044117646,151.99908088235293,1.4711638689041138,45.6813850402832,2.1500022411346436,76.75518035888672,-73.31624603271484,179.826416015625,-71.57050323486328,209.55490112304688,1.6055757441790774e-05,0.0444505400955677,-1.9042539861402474e-05,0.007836832664906979,-1.6754387615947053e-05,0.07559926807880402,-3.301793913124129e-05,0.011755270883440971,0.2503112905753534,0.020750675200996466,,,0.29674676060676575,0.09834835678339005,0.29208001494407654,0.08933670073747635,0.4933229684829712,0.03220893070101738,0.48003867268562317,0.02683008834719658,0.0702010582010582,0.06527286962850984,0.07108843537414966,0.06603486973020499
4,Dean  - D (Half Moon) ft. Gaeko-eelfrHtmk68.mp3,RB,Dean ,D  ft. Gaeko,172.265625,172.265625,1.572049617767334,43.28997802734375,2.5747692584991455,89.95355987548828,-75.32793426513672,115.26045989990234,-72.6539535522461,174.6260223388672,-1.4811490700594732e-06,0.03653503209352493,-9.02563042473048e-05,0.009549488313496113,3.535527503117919e-05,0.08848345279693604,7.473168079741299e-05,0.013631684705615044,0.30322286742523596,0.023662104650321782,,,0.30279839038848877,0.09620406478643417,0.3763197958469391,0.091599240899086,0.5053456425666809,0.03490108251571655,0.5327246189117432,0.021876109763979912,0.08721239606953893,0.07960639404134882,0.07312622826908541,0.06777878300822299
5,폴킴 (Paul Kim)  - 비.mp3,RB,폴킴 (Paul Kim) ,비,143.5546875,64.599609375,0.4545232355594635,9.451817512512207,2.04803204536438,80.43128204345703,-76.71639251708984,89.46202850341797,-72.4649429321289,211.7818603515625,-4.859265118284384e-06,0.00959857553243637,-5.187992792343721e-05,0.0009709400474093854,6.243791261795195e-08,0.07579749822616577,-2.1118410586495884e-05,0.011731338687241077,0.1731396975819163,0.016745255475480187,,,0.27289751172065735,0.09070306271314621,0.28912830352783203,0.08916027098894119,0.5078370571136475,0.025818107649683952,0.5042117834091187,0.02663392573595047,0.03804459561602419,0.036597204360437355,0.04939002267573696,0.04695064833582716
6, Urban Zakapa(어반자카파)  - Thursday Night(목요일 밤) (feat. Beenzino(빈지노))-Rcagb_psrbs.mp3,RB, Urban Zakapa(어반자카파) ,Thursday Night(목요일 밤) (feat. Beenzino(빈지노)),89.10290948275862,89.10290948275862,1.7645971775054932,46.12823486328125,2.2808265686035156,54.623661041259766,-74.64512634277344,137.64552307128906,-70.97225952148438,208.39678955078125,-4.528637418843573e-06,0.030700650066137314,-3.7436591810546815e-05,0.017644479870796204,-3.845831997750793e-06,0.0350448377430439,-9.716641216073185e-06,0.020187845453619957,0.31330657653973504,0.022459535900571127,,,0.3117261230945587,0.09633854776620865,0.3497198820114136,0.09226693958044052,0.4938015937805176,0.028876369819045067,0.4981876015663147,0.024756819009780884,0.07833408919123205,0.07219785966181216,0.08697278911564627,0.07940852306909159
7,Adele  - Hello-YQHsXMglC9A.mp3,RB,Adele ,Hello,172.265625,151.99908088235293,0.09794022142887115,0.18516844511032104,0.31208035349845886,3.2587597370147705,-77.52550506591797,55.47844314575195,-76.0937728881836,111.36428833007812,-0.000185979952220805,6.656564801232889e-05,-0.0003066280041821301,0.00010946262045763433,-3.667558485176414e-05,0.003403392620384693,-0.0002452362678013742,0.0003392114012967795,0.2533326961658014,0.01852153774377476,,,0.5909150242805481,0.06807637214660645,0.3732185661792755,0.09892525523900986,0.5246861577033997,0.022018760442733765,0.520716667175293,0.030043315142393112,0.07078609221466364,0.06577542136364074,0.06493801965230536,0.060721073255942136
8,Sam Smith  - I'm Not The Only One (Official Video)-nCkpzqqog4k.mp3,RB,Sam Smith ,I'm Not The Only One ,83.35433467741936,83.35433467741936,0.42777225375175476,9.544594764709473,1.5092023611068726,50.455780029296875,-78.40143585205078,41.086307525634766,-74.05228424072266,167.0670928955078,6.438662694563391e-06,0.003356974571943283,1.1250310308241751e-05,0.006409576628357172,-1.2358206731732935e-05,0.03392381593585014,-7.637507951585576e-05,0.016465941444039345,0.24045326964562277,0.01736184988181722,,,0.4997425079345703,0.08520558476448059,0.3896636366844177,0.09392377734184265,0.5264977216720581,0.024475671350955963,0.5265482068061829,0.02457665093243122,0.057680272108843536,0.05435325831829332,0.048028722600151175,0.04572196440554889
